bill/InvoicingEntity,bill/BillingEntity,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/ResourceId,lineItem/UsageAmount,lineItem/CurrencyCode,lineItem/UnblendedCost,lineItem/BlendedCost,lineItem/LineItemDescription,product/ProductName
Amazon Web Services Australia Pty Ltd,AWS,1234567890,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,1234567890,Usage,2022-03-04T03:00:00Z,2022-03-04T04:00:00Z,AmazonS3,APS2-USE1-AWS-In-Bytes,,0.0000081994,USD,0,0,$0.00 per GB - Asia Pacific (Sydney) data transfer from US East (Northern Virginia),Amazon Simple Storage Service
Amazon Web Services Australia Pty Ltd,AWS,1234567890,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,1234567890,Usage,2022-03-04T19:00:00Z,2022-03-04T20:00:00Z,AmazonEC2,APS2-USE1-AWS-In-Bytes,i-e6a50292ac,0.0000008848,USD,0,0,$0.00 per GB - Asia Pacific (Sydney) data transfer from US East (Northern Virginia),Amazon Elastic Compute Cloud
Amazon Web Services Australia Pty Ltd,AWS,1234567890,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,1234567890,Usage,2022-03-04T22:00:00Z,2022-03-04T23:00:00Z,AmazonEC2,APS2-USE1-AWS-In-Bytes,i-e6a50292ac,0.0000001974,USD,0,0,$0.00 per GB - Asia Pacific (Sydney) data transfer from US East (Northern Virginia),Amazon Elastic Compute Cloud
Amazon Web Services Australia Pty Ltd,AWS,1234567890,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,1234567890,Usage,2022-03-06T14:00:00Z,2022-03-06T15:00:00Z,AmazonS3,APS2-USE1-AWS-In-Bytes,hidden_0f470cbdef,0.000016694,USD,0,0,$0.00 per GB - Asia Pacific (Sydney) data transfer from US East (Northern Virginia),Amazon Simple Storage Service
Amazon Web Services Australia Pty Ltd,AWS,1234567890,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,1234567890,Usage,2022-03-06T14:00:00Z,2022-03-06T15:00:00Z,AmazonS3,APS2-USE1-AWS-In-Bytes,hidden_045d612dce,0.0000166809,USD,0,0,$0.00 per GB - Asia Pacific (Sydney) data transfer from US East (Northern Virginia),Amazon Simple Storage Service
Amazon Web Services Australia Pty Ltd,AWS,1234567890,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,1234567890,Usage,2022-03-11T11:00:00Z,2022-03-11T12:00:00Z,AmazonS3,APS2-USE1-AWS-In-Bytes,aws-cloudtrail-logs-1234567890-8cd2c9cb,0.0000007777,USD,0,0,$0.00 per GB - Asia Pacific (Sydney) data transfer from US East (Northern Virginia),Amazon Simple Storage Service
Amazon Web Services Australia Pty Ltd,AWS,1234567890,2022-03-01T00:00:00Z,2022-04-01T00:00:00Z,1234567890,Usage,2022-03-11T12:00:00Z,2022-03-11T13:00:00Z,AmazonS3,APS2-USE1-AWS-In-Bytes,aws-cloudtrail-logs-1234567890-8cd2c9cb,0.0000138767,USD,0,0,$0.00 per GB - Asia Pacific (Sydney) data transfer from US East (Northern Virginia),Amazon Simple Storage Service
